"celex","date","dateforce","dateendvalid","lbs","lbcelex","lbsuffix","force","datetranspos"
"31998L0013","1998-02-12","1998-04-01","2000-04-07","cc299c53-3d01-42ec-ad9d-05195509c52e","11992E189B",NA,"false","1995-05-01"
"32014L0029","2014-02-26","2016-04-20","9999-12-31","6b390c35-d623-4785-86a0-1fb492a32cab","12012E294",NA,"true","2016-04-19"
"32003L0050","2003-06-11","2003-07-09","2021-04-20","757b23c4-c2b5-437d-a73b-f6c4aa6d3ee8","12002E037",NA,"false","2004-06-30"
"31997L0043","1997-06-30","1997-07-08","2018-02-05","f1d1cead-ee6c-402d-8eee-de39a9c136dd","11957A031",NA,"false","2000-05-12"
"31998L0095","1998-12-14","1999-02-21","9999-12-31","a811ac5d-2d67-4dcd-bf4b-04dbcfbc927e","11992E043",NA,"true","2000-02-01"
"31997L0012","1997-03-17","1998-07-01","2021-04-20","a811ac5d-2d67-4dcd-bf4b-04dbcfbc927e","11992E043",NA,"false","1998-06-30"
"32015L2366","2015-11-25","2016-01-12","2026-06-18","a7c572b0-ad13-4fd5-8d49-c4b69cd1e32d","12012E114",NA,"true","2018-01-13"
"32016L2258","2016-12-06","2016-12-06","9999-12-31","5e97a6a5-a0f0-44a0-8a7c-42818affb7de","12016E115",NA,"true","2017-12-31"
"32005L0011","2005-02-16","2006-01-01","2017-10-31","33214808-2cf0-4970-9dec-8f8843c3468d","31970L0156","A13P2","false","2005-12-31"
"31964L0225","1964-02-25","1964-02-26","2015-12-31","d4b0fa07-500a-4196-afc5-43547911a9e2","11957E063","P2","false","1964-08-26"
"31974L0007","1973-12-13","1973-12-19","1985-07-10","de2f6bfa-e0e7-4383-af1f-3406fa00a4f1","31970L0524","A06P1BIS","false","1974-03-01"
"32014L0111","2014-12-17","2014-12-21","9999-12-31","e540179f-10ce-4147-9ff9-6609baedd4e4","32009L0015","A07P2FR2","true","2015-12-31"
"32014L0037","2014-02-27","2014-03-20","9999-12-31","a8caecfa-a111-4233-a91c-c095ba986530","31991L0671","A07BI","true","2014-09-20"
"32003L0029","2003-04-07","2003-04-09","2004-10-05","6867429a-f2b8-472f-b29e-4cf3fce5819a","31996L0049","A08","false","2003-07-01"
"31979L0115","1978-12-21","1978-12-22","9999-12-31","e1da8614-4bbc-4bbb-810b-25f4ca287ce0","11957E084","P2","true","1980-01-01"
"31993L0102","1993-11-16","1993-11-28","2000-05-25","dfbcf46b-1d98-4a8f-bfe5-08dca7882254","31979L0112","AO6P5PTBTIRE2","false","1994-12-29"
"31979L0623","1979-06-25","1979-06-27","1989-01-01","51fd33b3-06d4-4283-b44e-6027f3f4b82f","11957E100",NA,"false","1982-01-01"
