"celex","date"
"32003R1613","2003-09-12"
"31975R1933","1975-07-22"
"32014R1002","2014-09-24"
"31972R1899","1972-09-01"
"31995R2088","1995-08-31"
"31968R1132","1968-07-31"
"32017R0419","2017-03-09"
"31975R1594","1975-06-26"
"31984R1472","1984-05-24"
"31987R3761","1987-11-30"
"31987R4172","1987-12-21"
"32003R0671","2003-04-10"
"31993R0740","1993-03-17"
"31985R0763","1985-03-12"
"31982R1530","1982-05-25"
"32006R1747","2006-11-27"
"31985R3007","1985-10-30"
"31991R2339","1991-08-01"
"31971R1285","1971-06-22"
"31996R0935","1996-05-24"
"31968R1294","1968-08-27"
"31969R1029","1969-06-05"
"31976R2420","1976-10-05"
"31992R0229","1992-02-01"
"31994R2339","1994-09-30"
"31975R0430","1975-02-22"
"32008R0359","2008-04-18"
"31992R2608","1992-09-08"
"31975R1012","1975-04-18"
"31973R2934","1973-10-30"
"31985R0787","1985-03-27"
"31985R1873","1985-07-05"
"31987R3383","1987-11-12"
"32001R2288","2001-11-23"
"31996R0324","1996-02-22"
"31974R1155","1974-05-09"
"31968R1684","1968-10-26"
"32011R0207","2011-03-02"
"31999R2266","1999-10-27"
"31999R2588","1999-12-08"
"31979R1909","1979-08-31"
"31973R1242","1973-05-14"
"31988R1403","1988-05-24"
"31985R1697","1985-06-21"
"31972R0366","1972-02-23"
"31993R1650","1993-06-29"
"31972R2401","1972-11-17"
"32000R1069","2000-05-19"
"31968R1568","1968-10-10"
"32007R1354","2007-11-15"
"31986R0742","1986-03-11"
"31974R0264","1974-02-01"
"31990R3814","1990-12-19"
"31987R3081","1987-10-15"
"31992R1650","1992-06-27"
"31989R1001","1989-04-19"
"31984R3240","1984-11-21"
"32004R0623","2004-04-02"
"31987R1299","1987-05-09"
"31990R2983","1990-10-15"
"31988R2152","1988-07-20"
"31960R0009(01)","1960-02-02"
"32016R1705","2016-09-09"
"31975R2927","1975-11-07"
"31998R0522","1998-03-05"
"32010R0139","2010-02-18"
"31983R1451","1983-06-07"
"31977R2471","1977-11-08"
"31975R2735","1975-10-29"
"31969R1602","1969-08-14"
"31969R2324","1969-11-25"
"31996R1640","1996-08-14"
"31994R1747","1994-07-16"
"31996R2314","1996-12-02"
"31978R1719","1978-07-24"
"31989R1841","1989-06-27"
"31972R2791","1972-12-30"
"31998R0593","1998-03-13"
"31971R0685","1971-04-01"
"32004R2176","2004-12-17"
"32010R0276","2010-03-31"
"31994R1087","1994-05-11"
"31988R3166","1988-10-14"
"31970R0594","1970-04-01"
"31998R2291","1998-10-22"
"32013R0806","2013-08-26"
"31981R3183","1981-11-03"
"31986R0203","1986-02-03"
"32004R0354","2004-02-27"
"31971R1110","1971-05-28"
"31968R1456","1968-09-20"
"31973R3556","1973-12-21"
"31977R0339","1977-02-14"
"31979R1982","1979-09-08"
"31971R1639","1971-07-29"
"32013R0213","2013-03-11"
"31962R0157","1962-12-28"
"32008R0976","2008-10-06"
"31984R0617","1984-03-09"
"32005R1682","2005-10-14"
"31983R0860","1983-04-12"
"32005R0799","2005-05-26"
"31998R1565","1998-07-20"
"31998R0358","1998-02-13"
"32004R1074","2004-06-04"
"31975R2819","1975-10-30"
"31996R1133","1996-06-24"
"31974R0700","1974-03-29"
"31988R1408","1988-05-25"
"31970R1304","1970-07-03"
"31992R3582","1992-12-10"
"31988R0636","1988-03-10"
"31985R0971","1985-04-15"
"31985R0588","1985-03-07"
"31994R0459","1994-03-01"
"31993R1609","1993-06-26"
"32001R1363","2001-07-04"
"32002R0009","2002-01-04"
